Exchange,Ticker,Listing Date
Binance Perp,COLLECT,2025/12/31
Binance Perp,MAGMA,2025/12/31
Binance Perp,BREV,2025/12/30
Coinbase,LIGHTER,2025/12/30
Bithumb,ZKP,2025/12/26
Okx,BRL1,2025/12/26
Upbit,YB,2025/12/26
Upbit,ZKP,2025/12/26
Binance Spot,KGST,2025/12/24
Binance Perp,LIT,2025/12/23
Bithumb,THQ,2025/12/23
Binance Perp,GUA,2025/12/21
Binance Perp,IR,2025/12/21
Binance Perp,ZKP,2025/12/21
Bithumb,DEXE,2025/12/19
Bybit,ZKP,2025/12/19
Coinbase,ZKP,2025/12/19
Bybit,VOOI,2025/12/18
Bybit,SCOR,2025/12/17
Bithumb,EDEN,2025/12/16
Coinbase,THQ,2025/12/16
Bithumb,WET,2025/12/15
Coinbase,BEAM,2025/12/15
Upbit,WET,2025/12/15
Binance Perp,RAVE,2025/12/14
Bithumb,STABLE,2025/12/11
Bybit,ALMANAK,2025/12/11
Bithumb,ALLO,2025/12/09
Bybit,NIGHT,2025/12/09
Bybit,WET,2025/12/09
Coinbase,HYPER,2025/12/09
Coinbase,WET,2025/12/09
Okx,NIGHT,2025/12/09
Okx,WET,2025/12/09
Bybit,STABLE,2025/12/08
Coinbase,JUPITER,2025/12/08
Coinbase,PLUME,2025/12/08
Okx,NIGHT,2025/12/08
Bithumb,SAPIEN,2025/12/05
Bithumb,BOB,2025/12/03
Bithumb,TRAC,2025/12/03
Coinbase,RLS,2025/12/01
Coinbase,XPL,2025/12/01
Okx,HYPE,2025/12/01
