EXCHANGE|TICKER|LISTING_DATE
Binance Spot|XPIN|2026/09/04
Binance Perp|GPRO|2026/09/03
Binance Spot|COLLECT|2026/09/02
Okx|CP|2026/09/02
Okx|GRVT|2026/09/02
Binance Perp|HK0625|2026/09/01
Binance Perp|MARSCOIN|2026/09/01
Binance Spot|TMX|2026/09/01
Coinbase|CP|2026/09/01
Okx|ZENT|2026/08/31
Bithumb|EURC|2026/08/28
Bithumb|FOLD|2026/08/28
Upbit|EURC|2026/08/28
Binance Perp|TAC|2026/08/27
Okx|SOPH|2026/08/27
Binance Spot|AIA|2026/08/26
Binance Spot|DJTB|2026/08/26
Coinbase|GRASS|2026/08/26
Okx|BASED|2026/08/26
Upbit|NCT|2026/08/26
Bithumb|PROM|2026/08/24
Coinbase|BASECAT|2026/08/24
Coinbase|DRB|2026/08/24
Upbit|LIT|2026/08/24
Upbit|FOLD|2026/08/23
Bithumb|NEXO|2026/08/21
Okx|XJNJ|2026/08/21
Okx|XKLAC|2026/08/21
Okx|XROK|2026/08/21
Okx|XSTRC|2026/08/21
Upbit|BICO|2026/08/21
Upbit|BMT|2026/08/21
Upbit|CRV|2026/08/21
Upbit|GWEI|2026/08/21
Upbit|NEXO|2026/08/21
Upbit|NIL|2026/08/21
Okx|XAPLD|2026/08/20
Okx|XBX|2026/08/20
Okx|XGLW|2026/08/20
Okx|XISRG|2026/08/20
Okx|XOKTA|2026/08/20
Okx|XQCOM|2026/08/20
Okx|XRIVN|2026/08/20
Okx|XUNH|2026/08/20
Okx|XWDC|2026/08/20
Okx|XZM|2026/08/20
Binance Perp|UNITREE|2026/08/19
Coinbase|ALIGN|2026/08/19
Okx|XCIEN|2026/08/19
Okx|XKO|2026/08/19
Okx|XLRCX|2026/08/19
Okx|XRDDT|2026/08/19
Okx|XSMH|2026/08/19
Okx|XTTWO|2026/08/19
Okx|XBOT|2026/08/18
Okx|XCRM|2026/08/18
Okx|XDKNG|2026/08/18
Okx|XHPE|2026/08/18
Okx|XNOW|2026/08/18
Okx|XPOPMART|2026/08/18
Okx|XSNOW|2026/08/18
Okx|XXIAOMI|2026/08/18
Bybit|KII|2026/08/14
Okx|XALAB|2026/08/14
Okx|XAPP|2026/08/14
Okx|XBSP|2026/08/14
Okx|XCOHR|2026/08/14
Okx|XON|2026/08/14
Okx|XSHAZ|2026/08/14
Okx|XSMCI|2026/08/14
Okx|XTWLO|2026/08/14
Okx|DOS|2026/08/13
Okx|XAAOI|2026/08/13
Okx|XARM|2026/08/13
Okx|XBE|2026/08/13
Okx|XCBRS|2026/08/13
Okx|XCRWV|2026/08/13
Okx|XNBIS|2026/08/13
Okx|XRKLB|2026/08/13
Okx|XTQQQ|2026/08/13
Bithumb|TRB|2026/08/12
Okx|XTESTA|2026/08/12
Upbit|PROM|2026/08/12
Binance Perp|DOS|2026/08/11
Bithumb|DOS|2026/08/11
Upbit|DOS|2026/08/11
Okx|KAITO|2026/08/10
Upbit|AIOZ|2026/08/10
Upbit|ALLO|2026/08/10
Upbit|CYS|2026/08/10
Upbit|EDEN|2026/08/10
Upbit|ICNT|2026/08/10
Upbit|XAN|2026/08/10
Bithumb|BSB|2026/08/07
Okx|XTESTA|2026/08/07
Upbit|BSB|2026/08/07
Upbit|KMNO|2026/08/07
Bithumb|UB|2026/08/06
Upbit|CAP|2026/08/06
Upbit|GRVT|2026/08/05
Bithumb|META2|2026/08/04
Bithumb|QUID|2026/08/04
Bithumb|USDG|2026/08/04
Upbit|HOME|2026/08/04
Upbit|QUID|2026/08/04
Bithumb|GRVT|2026/07/31
Upbit|CFX|2026/07/31
Bybit|GRVT|2026/07/30
Okx|GRVT|2026/07/30
Upbit|USDG|2026/07/30
Bithumb|AEON|2026/07/29
Bithumb|RLUSD|2026/07/29
Coinbase|GRVT|2026/07/29
Okx|XGEV|2026/07/29
Okx|XONDS|2026/07/29
Okx|XTER|2026/07/29
Okx|XVRT|2026/07/29
Upbit|META2|2026/07/29
Bithumb|O|2026/07/28
Upbit|RLUSD|2026/07/28
Bithumb|BANK|2026/07/27
Bithumb|GEOD|2026/07/27
Upbit|GEOD|2026/07/27
Coinbase|USDC|2026/07/24
Bithumb|CHECK|2026/07/23
Bithumb|DRV|2026/07/14
Bybit|DATA|2026/07/09
Bithumb|ICNT|2026/07/07
Bybit|GROVE|2026/07/07
Coinbase|GROVE|2026/07/06
Bithumb|MPLX|2026/07/03
Bithumb|NEX|2026/07/03
Bithumb|CAP|2026/06/30
Bithumb|DATA|2026/06/29
Bithumb|ARX|2026/06/26
Bybit|CAP|2026/06/26
Coinbase|CAP|2026/06/25
Bybit|VERONA|2026/06/24
Bithumb|CC|2026/06/23
Bybit|ARX|2026/06/22
Bybit|GRAM|2026/06/22
Bybit|SLX|2026/06/22
Coinbase|ARX|2026/06/22
Coinbase|GEOD|2026/06/22
Bithumb|RE|2026/06/19
Bithumb|LWP|2026/06/18
Bithumb|VERONA|2026/06/18
Coinbase|RE|2026/06/17
Bithumb|SPACE|2026/06/16
Bithumb|SPX|2026/06/16
Coinbase|O|2026/06/16
Bithumb|GRAM|2026/06/15
Bybit|SPCXX|2026/06/12
Bithumb|HPP|2026/06/10
Bithumb|CTR|2026/06/09
Coinbase|ETH|2026/06/03
Coinbase|SOL|2026/06/03
Bithumb|HNT|2026/06/01
Bithumb|SLX|2026/06/01
